"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","TRAP","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","HVT_perc","Rank","HVT_per_game","Touches_per_game"
"RB","Saquon Barkley","00-0034844","NYG",288,56,0.805555555555556,223.2,223.55,14,"2023",15.9428571428571,15.9678571428571,0.194444444444444,"RB2",4,20.5714285714286
"RB","Tony Pollard","00-0035261","DAL",307,85,0.723127035830619,222.6,280.69,17,"2023",13.0941176470588,16.5111764705882,0.276872964169381,"RB2",5,18.0588235294118
"RB","Isiah Pacheco","00-0037197","KC",249,64,0.742971887550201,213.9,216.73,14,"2023",15.2785714285714,15.4807142857143,0.257028112449799,"RB2",4.57142857142857,17.7857142857143
"RB","Jerome Ford","00-0037267","CLE",248,54,0.782258064516129,211.2,202.12,17,"2023",12.4235294117647,11.8894117647059,0.217741935483871,"RB2",3.17647058823529,14.5882352941176
"RB","David Montgomery","00-0035685","DET",235,47,0.8,205.2,191.74,14,"2023",14.6571428571429,13.6957142857143,0.2,"RB2",3.35714285714286,16.7857142857143
"RB","James Conner","00-0033553","ARI",235,45,0.808510638297872,201.5,173.84,13,"2023",15.5,13.3723076923077,0.191489361702128,"RB2",3.46153846153846,18.0769230769231
"RB","Kenneth Walker","00-0038134","SEA",248,48,0.806451612903226,199.4,194.51,15,"2023",13.2933333333333,12.9673333333333,0.193548387096774,"RB2",3.2,16.5333333333333
"RB","D'Andre Swift","00-0036275","PHI",268,66,0.753731343283582,199.3,216.62,16,"2023",12.45625,13.53875,0.246268656716418,"RB2",4.125,16.75
"RB","Brian Robinson","00-0037746","WAS",214,49,0.771028037383178,198.1,166.93,15,"2023",13.2066666666667,11.1286666666667,0.228971962616822,"RB2",3.26666666666667,14.2666666666667
"RB","Jaylen Warren","00-0037228","PIT",210,69,0.671428571428571,196.4,189.43,17,"2023",11.5529411764706,11.1429411764706,0.328571428571429,"RB2",4.05882352941176,12.3529411764706
"RB","Najee Harris","00-0036893","PIT",284,52,0.816901408450704,195.5,198.23,17,"2023",11.5,11.6605882352941,0.183098591549296,"RB2",3.05882352941176,16.7058823529412
"RB","De'Von Achane","00-0039040","MIA",130,38,0.707692307692308,190.7,130.26,11,"2023",17.3363636363636,11.8418181818182,0.292307692307692,"RB2",3.45454545454545,11.8181818181818
"RB","Gus Edwards","00-0034184","BAL",210,42,0.8,187,165.48,17,"2023",11,9.73411764705882,0.2,"RB3",2.47058823529412,12.3529411764706
"RB","Austin Ekeler","00-0033699","LAC",230,75,0.673913043478261,184.2,232.86,14,"2023",13.1571428571429,16.6328571428571,0.326086956521739,"RB3",5.35714285714286,16.4285714285714
"RB","Chuba Hubbard","00-0036555","CAR",277,56,0.797833935018051,182.5,188.85,17,"2023",10.7352941176471,11.1088235294118,0.202166064981949,"RB3",3.29411764705882,16.2941176470588
"RB","Josh Jacobs","00-0035700","LV",270,59,0.781481481481481,181.1,219.34,13,"2023",13.9307692307692,16.8723076923077,0.218518518518519,"RB3",4.53846153846154,20.7692307692308
"RB","Javonte Williams","00-0036997","DEN",264,64,0.757575757575758,179.2,215.36,16,"2023",11.2,13.46,0.242424242424242,"RB3",4,16.5
"RB","Ezekiel Elliott","00-0033045","NE",235,62,0.736170212765957,174.5,185.6,17,"2023",10.2647058823529,10.9176470588235,0.263829787234043,"RB3",3.64705882352941,13.8235294117647
"RB","Zack Moss","00-0036251","IND",210,48,0.771428571428571,169.6,165.35,14,"2023",12.1142857142857,11.8107142857143,0.228571428571429,"RB3",3.42857142857143,15
"RB","Devin Singletary","00-0035250","HOU",246,47,0.808943089430894,167.34,179.93,17,"2023",9.84352941176471,10.5841176470588,0.191056910569106,"RB3",2.76470588235294,14.4705882352941
"RB","Jonathan Taylor","00-0036223","IND",188,33,0.824468085106383,156.4,148.35,10,"2023",15.64,14.835,0.175531914893617,"RB3",3.3,18.8
"RB","Tyjae Spears","00-0039032","TEN",152,57,0.625,153.8,151.02,17,"2023",9.04705882352941,8.88352941176471,0.375,"RB3",3.35294117647059,8.94117647058824
"RB","Rhamondre Stevenson","00-0036875","NE",194,46,0.762886597938144,145.7,153.19,12,"2023",12.1416666666667,12.7658333333333,0.237113402061856,"RB3",3.83333333333333,16.1666666666667
