"depth_chart_position","full_name","gsis_id","team","Total_touches","Total_HVT","total_fantasy_points","total_fantasy_points_exp","games","season","ppg","xppg","Touch_type","percentage","label_y","Rank"
"RB","Michael Carter","00-0036924","ARI",54,25,58.8,61.91,15,"2023",3.92,4.12733333333333,"HVT_perc",0.462962962962963,0.768518518518519,"Other"
"RB","Chase Brown","00-0038597","CIN",58,15,53.5,44.16,10,"2023",5.35,4.416,"TRAP",0.741379310344828,0.370689655172414,"Other"
"RB","Chase Brown","00-0038597","CIN",58,15,53.5,44.16,10,"2023",5.35,4.416,"HVT_perc",0.258620689655172,0.870689655172414,"Other"
"RB","Elijah Mitchell","00-0036567","SF",81,18,47.5,66.58,11,"2023",4.31818181818182,6.05272727272727,"TRAP",0.777777777777778,0.388888888888889,"Other"
"RB","Elijah Mitchell","00-0036567","SF",81,18,47.5,66.58,11,"2023",4.31818181818182,6.05272727272727,"HVT_perc",0.222222222222222,0.888888888888889,"Other"
"RB","Matt Breida","00-0033308","NYG",72,18,46.9,55.81,15,"2023",3.12666666666667,3.72066666666667,"TRAP",0.75,0.375,"Other"
"RB","Matt Breida","00-0033308","NYG",72,18,46.9,55.81,15,"2023",3.12666666666667,3.72066666666667,"HVT_perc",0.25,0.875,"Other"
"RB","Cam Akers","00-0036414","MIN",71,16,46.7,50.8,7,"2023",6.67142857142857,7.25714285714286,"TRAP",0.774647887323944,0.387323943661972,"Other"
"RB","Cam Akers","00-0036414","MIN",71,16,46.7,50.8,7,"2023",6.67142857142857,7.25714285714286,"HVT_perc",0.225352112676056,0.887323943661972,"Other"
"RB","Royce Freeman","00-0034838","LA",78,10,46.2,55.03,9,"2023",5.13333333333333,6.11444444444444,"TRAP",0.871794871794872,0.435897435897436,"Other"
"RB","Royce Freeman","00-0034838","LA",78,10,46.2,55.03,9,"2023",5.13333333333333,6.11444444444444,"HVT_perc",0.128205128205128,0.935897435897436,"Other"
"RB","Jordan Mason","00-0037525","SF",43,5,44.7,27.29,9,"2023",4.96666666666667,3.03222222222222,"TRAP",0.883720930232558,0.441860465116279,"Other"
"RB","Jordan Mason","00-0037525","SF",43,5,44.7,27.29,9,"2023",4.96666666666667,3.03222222222222,"HVT_perc",0.116279069767442,0.941860465116279,"Other"
"RB","Darrell Henderson","00-0035664","LA",56,15,43.5,55.72,4,"2023",10.875,13.93,"TRAP",0.732142857142857,0.366071428571429,"Other"
"RB","Darrell Henderson","00-0035664","LA",56,15,43.5,55.72,4,"2023",10.875,13.93,"HVT_perc",0.267857142857143,0.866071428571429,"Other"
"RB","Kendre Miller","00-0038551","NO",51,11,43.3,38.68,7,"2023",6.18571428571429,5.52571428571429,"TRAP",0.784313725490196,0.392156862745098,"Other"
"RB","Kendre Miller","00-0038551","NO",51,11,43.3,38.68,7,"2023",6.18571428571429,5.52571428571429,"HVT_perc",0.215686274509804,0.892156862745098,"Other"
"RB","Salvon Ahmed","00-0036020","MIA",38,19,42.9,49.62,7,"2023",6.12857142857143,7.08857142857143,"TRAP",0.5,0.25,"Other"
"RB","Salvon Ahmed","00-0036020","MIA",38,19,42.9,49.62,7,"2023",6.12857142857143,7.08857142857143,"HVT_perc",0.5,0.75,"Other"
"RB","Pierre Strong","00-0038098","CLE",68,7,42.8,47.9,13,"2023",3.29230769230769,3.68461538461538,"TRAP",0.897058823529412,0.448529411764706,"Other"
"RB","Pierre Strong","00-0038098","CLE",68,7,42.8,47.9,13,"2023",3.29230769230769,3.68461538461538,"HVT_perc",0.102941176470588,0.948529411764706,"Other"
"RB","Jeff Wilson","00-0034115","MIA",55,16,41.3,48.35,9,"2023",4.58888888888889,5.37222222222222,"TRAP",0.709090909090909,0.354545454545455,"Other"
"RB","Jeff Wilson","00-0034115","MIA",55,16,41.3,48.35,9,"2023",4.58888888888889,5.37222222222222,"HVT_perc",0.290909090909091,0.854545454545454,"Other"
"RB","Ameer Abdullah","00-0032104","LV",34,19,41,44.77,16,"2023",2.5625,2.798125,"TRAP",0.441176470588235,0.220588235294118,"Other"
"RB","Ameer Abdullah","00-0032104","LV",34,19,41,44.77,16,"2023",2.5625,2.798125,"HVT_perc",0.558823529411765,0.720588235294118,"Other"
"RB","Dalvin Cook","00-0033893","BAL",82,17,40.2,59.15,14,"2023",2.87142857142857,4.225,"TRAP",0.792682926829268,0.396341463414634,"Other"
"RB","Dalvin Cook","00-0033893","BAL",82,17,40.2,59.15,14,"2023",2.87142857142857,4.225,"HVT_perc",0.207317073170732,0.896341463414634,"Other"
"RB","Chase Edmonds","00-0034681","TB",63,14,39.7,46.32,13,"2023",3.05384615384615,3.56307692307692,"TRAP",0.777777777777778,0.388888888888889,"Other"
"RB","Chase Edmonds","00-0034681","TB",63,14,39.7,46.32,13,"2023",3.05384615384615,3.56307692307692,"HVT_perc",0.222222222222222,0.888888888888889,"Other"
"RB","Chris Rodriguez","00-0038611","WAS",53,6,37.9,35.24,8,"2023",4.7375,4.405,"TRAP",0.886792452830189,0.443396226415094,"Other"
"RB","Chris Rodriguez","00-0038611","WAS",53,6,37.9,35.24,8,"2023",4.7375,4.405,"HVT_perc",0.113207547169811,0.943396226415094,"Other"
"RB","Cordarrelle Patterson","00-0030578","ATL",59,14,36.9,53.97,12,"2023",3.075,4.4975,"TRAP",0.76271186440678,0.38135593220339,"Other"
"RB","Cordarrelle Patterson","00-0030578","ATL",59,14,36.9,53.97,12,"2023",3.075,4.4975,"HVT_perc",0.23728813559322,0.88135593220339,"Other"
"RB","D'Ernest Johnson","00-0035628","JAX",51,13,34.8,40.84,15,"2023",2.32,2.72266666666667,"TRAP",0.745098039215686,0.372549019607843,"Other"
"RB","D'Ernest Johnson","00-0035628","JAX",51,13,34.8,40.84,15,"2023",2.32,2.72266666666667,"HVT_perc",0.254901960784314,0.872549019607843,"Other"
"RB","Ty Johnson","00-0035537","BUF",37,7,32.4,28.66,7,"2023",4.62857142857143,4.09428571428571,"TRAP",0.810810810810811,0.405405405405405,"Other"
"RB","Ty Johnson","00-0035537","BUF",37,7,32.4,28.66,7,"2023",4.62857142857143,4.09428571428571,"HVT_perc",0.189189189189189,0.905405405405405,"Other"
"RB","Tony Jones","00-0035860","ARI",33,12,32.2,34.88,6,"2023",5.36666666666667,5.81333333333333,"TRAP",0.636363636363636,0.318181818181818,"Other"
"RB","Tony Jones","00-0035860","ARI",33,12,32.2,34.88,6,"2023",5.36666666666667,5.81333333333333,"HVT_perc",0.363636363636364,0.818181818181818,"Other"
"RB","Craig Reynolds","00-0035567","DET",46,10,31.6,33.78,6,"2023",5.26666666666667,5.63,"TRAP",0.782608695652174,0.391304347826087,"Other"
"RB","Craig Reynolds","00-0035567","DET",46,10,31.6,33.78,6,"2023",5.26666666666667,5.63,"HVT_perc",0.217391304347826,0.891304347826087,"Other"
"RB","Patrick Taylor","00-0035973","GB",43,12,30,42.5,10,"2023",3,4.25,"TRAP",0.720930232558139,0.36046511627907,"Other"
"RB","Patrick Taylor","00-0035973","GB",43,12,30,42.5,10,"2023",3,4.25,"HVT_perc",0.279069767441861,0.86046511627907,"Other"
"RB","Darrynton Evans","00-0036297","MIA",39,9,30,34.13,6,"2023",5,5.68833333333333,"TRAP",0.769230769230769,0.384615384615385,"Other"
